Book-Title,Book-Author,Year-Of-Publication,Publisher
I Spy: A Book of Picture Riddles,Jean Marzollo,1992,Scholastic
I Spy Spooky Night: A Book of Picture Riddles (I Spy Books),Walter Wick,1996,Scholastic
Lake News,Barbara Delinsky,2000,Pocket
The SKULL BENEATH THE SKIN,P. D. James,1982,Scribner
NEW SHOE,Arthur William Upfield,1983,Scribner Paper Fiction
An Accidental Woman,Barbara Delinsky,2003,Pocket Books
The Snow Garden,Christopher Rice,2004,Pocket Star
The Doorbell Rang (The Best Mysteries of All Time),Rex Stout,2000,Readers Digest Assn
A Year by the Sea: Thoughts of an Unfinished Woman,Joan Anderson,2000,Broadway Books
Though I walk through the valley,Vance Havner,1974,F. H. Revell
Victorious Christians You Should Know,Warren W. Wiersbe,1984,Baker Book House
Life Lessons: Book Of Hebrews,Max Lucado,1997,W Publishing Group
Inside out,Lawrence J Crabb,1988,NavPress
Son Rise: The Miracle Continues,Barry Neil Kaufman,1994,Pub Group West
Unveiled at Last,Bob Sjogren,1988,YWAM Publishing
The Day I Almost Quit,Frederick J. Moody,1997,F.J. Moody
"Serving As Senders: How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home",Neal Pirolo,1991,Emmaus Road Intl
House of Stairs,William Sleator,1991,Puffin Books
The Little Prince,Antoine de Saint-ExupÃ©ry,1968,Harcourt
Jonathan Livingston Seagull,Richard Bach,1976,Avon
The Crystal Handbook,Kevin Sullivan,1996,Signet Book
Simple Wicca (Simple Wisdom Book),Michele Morgan,2002,Castle Books
"The Complete Book of Incense, Oils &amp; Brews (Llewellyn's Practical Magick)","Scott, Cunningham",1989,Llewellyn Publications
"The Western Mysteries: An Encyclopedic Guide to the Sacred Languages &amp; Magickal Systems of the World : The Key of It All, Book II (Key of It All)",David Allen Hulse,2000,Llewellyn Publications
Astral Travel for Beginners (For Beginners),Richard Webster,1998,Llewellyn Publications
New Perspectives: Runes,Bernard King,2000,Harper Collins - UK
Rosie'S Walk,Pat Hutchins,1971,Aladdin
Julius Caesar (Oxford School Shakespeare),William Shakespeare,2001,Oxford University Press
"Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698)",Melissa McClone,2003,Silhouette
"Marry Me ... Again   Montana Mavericks (Silhouette Special Edition, 1558)",Cheryl St. John,2003,Silhouette
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics
Moonlight Becomes You,Mary Higgins Clark,1997,Pocket
The Adventures of Tom Sawyer,Mark Twain,1989,Tor Books
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
Lakota Woman,Dog Mary Crow,1991,Perennial
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch
"Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960",Linda Gordon,1989,Penguin USA
The Florence King Reader,Florence King,1996,St. Martin's Press
The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
Impossible Vacation,Spalding Gray,1992,Random House Inc
Hannibal,Thomas Harris,2000,Dell Publishing Company
London : The Novel,EDWARD RUTHERFURD,1998,Fawcett
Life Before Man,Margaret Atwood,1990,Fawcett Books
Cavedweller,Dorothy Allison,1999,Plume Books
The Robber Bride,Margaret Atwood,1995,Bantam
Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,1993,Random House
The House of Mirth (Library of America),Edith Wharton,1990,Vintage Books USA
Ohitika Woman,Mary Brave Bird,1993,Pub Group West
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,John G. Neihardt,1988,University of Nebraska Press
The Community in America,Roland Warren,1987,University Press of America
"The Best in Tent Camping: Smoky Mountains : A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado)",Johnny Molloy,1997,Globe Pequot Pr
Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,2002,New York Review of Books
Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997,Riverhead Books
The Journey From Here,Bill Bradley,2000,Artisan Publishers
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing
El desarrollo de Leonardo da Vinci (BiografÃ­as y memorias),Luis Racionero,1986,Plaza &amp; JanÃ©s
Gastronomia divina (L'Ã¡ncora),Eugeni Perea SimÃ³n,1994,Destino
Desaparecido: LA Autentica Historia De LA Ejecucion De Charles Horman,Thomas Hauser,1982,Lectorum Pubns (J)
Hotel Europa (El BalancÃ­),VicenÃ§ Villatoro,1992,Edicions 62
La dona dels ulls de pluja: Barcelona anys 90 (El BalancÃ­),VÃ­ctor Mora,1993,Edicions 62
El paraÃ­so (Tiempos modernos),Elena Castedo,1991,"Editiones B, Grupo Zeta"
Negra i consentida (ColÂ¨lecciÃ³ El Mirall),OfÃ¨lia Dracs,1983,Laia
Essa efa (ColÂ¨lecciÃ³ El Mirall i el temps),OfÃ¨lia Dracs,1985,Editorial Laia
Espurnes de sang (La Negra),Antoni Serra,1987,Edicions de la Magrana
Les llengÃ¼es d'Africa (Biblioteca universal EmpÃºries),M. Carme Junyent,1986,Editorial EmpÃºries
TrÃ nsit (Area contemporÃ nia),Jaume CapÃ³,1987,Area
L'home del sac,MÃ rius Serra,1990,Columna
GrÃ cies per la propina (Columna),Ferran Torrent,1995,Columna
El dia que es va cremar el Liceu (La primera Columna),Joan Agut,1995,Columna
CÃ³mo ser una mujer y no morir en el intento (ColecciÃ³n El Papagayo),Carmen Rico-Godoy,1990,Ediciones Temas de Hoy
Una casa en Irlanda,Maeve Binchy,1999,Salamandra
La mirada del tafur (ColÂ¨lecciÃ³ clÃ ssica),Ferran Torrent,1997,Columna
Amorrada al pilÃ³ (Columna),Maria JaÃ©n,1986,Columna
Blur (Melody Maker),Paul Lester,1995,Hal Leonard Corp
War and Peace (Wordsworth Classics),Leo Tolstoy,1997,NTC/Contemporary Publishing Company
A-Z of Behaving Badly,Simon Nye,1996,Trafalgar Square
He Understanding Masculine Psychology,Robert A Johnson,1977,Harpercollins Publisher
Las DOS Muertes De Gardel (Ficcionario),Horacio Vazquez-Rial,2002,Ediciones B
You Can Surf the Net: Your Guide to the World of the Internet,Marc Gascoigne,1996,Puffin Books
I Want to Be...a Veterinarian (I Want to Be... Series),Stephanie Maze,1997,Harcourt
Alice's Tulips,Sandra Dallas,2001,St. Martin's Griffin
Centaur Aisle,Piers Anthony,1982,Ballantine Books
Crewel Lye,Piers Anthony,1985,Ballantine Books
Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books
Last Sword of Power (Stones of Power),David Gemmell,1997,Del Rey Books
Dating Big Bird,Laura Zigman,2000,Dial Books
The Firm,John Grisham,1992,Bantam Dell Publishing Group
Murder at the Kennedy Center (Capital Crime Mysteries),Margaret Truman,1990,Fawcett Books
"Guinness World Records 2000 (Guinness Book of Records, 2000)",Nic Kynaston,2000,Bantam Books
Forever Amber Brown (Amber Brown (Paperback)),Paula Danziger,1997,Jump at the Sun
Philip Jose Farmer's The Dungeon,Richard A. Lupoff,2003,I Books
Pool of Radiance: The Ruins of Myth Drannor (Forgotten Realms),Carrie Bebris,2001,Wizards of the Coast
"Feminism and Suffrage: The Emergence of an Independent Women's Movement in America, 1848-1869",Ellen Carol Dubois,1980,Cornell University Press
Why Are Boys So Weird (Tales from Third Grade),Candice F. Ransom,1993,Troll Communications Llc
Sheldon &amp; Mrs. Levine: An Excruciating Correspondence,Sam Bobrick,1994,Price Stern Sloan
Black Beauty (Great Illustrated Classics (Playmore)),Anna Sewell,2000,Playmore Inc. Publishers
Oliver Twist (Great Illustrated Classics),Charles Dickens,1989,Playmore Inc. Publishers
The wild ponies of Assateague Island (Books for young explorers),Donna K Grosvenor,1975,National Geographic Society
Frankenstein (Illustrated Classics Series),Mary Wollstonecraft Shelley,1992,Kidsbooks.Com
The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam
Dragonsong (Harper Hall Trilogy),Anne McCaffrey,1977,Bantam
The Watch House,Robert Westall,1998,HarperTrophy
Was It Something I Said?,Valerie Block,1998,Soho Press
Cloud Nine,Luanne Rice,2000,Bantam Books
The Lovely Bones,Alice Sebold,2004,Back Bay Books
The Tortilla Curtain,T. Coraghessan Boyle,1996,Penguin Books
Sarah Conley,Ellen Gilchrist,1998,Back Bay Books
A Widow for One Year,JOHN IRVING,1999,Ballantine Books
The Clearing,TIM GAUTREAUX,2003,Knopf
Empire Falls,Richard Russo,2002,Vintage Books USA
Oryx and Crake,Margaret Atwood,2003,Nan A. Talese
Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),Jostein Gaarder,1997,Berkley Publishing Group
Black and Blue,ANNA QUINDLEN,1999,Dell
Le Divorce (William Abrahams Book),Diane Johnson,1997,Plume Books
The Face,DEAN KOONTZ,2003,Bantam
She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999,Broadway Books
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997,Vintage
"RUSSIA HOUSE, THE",JOHN LE CARRE,1990,Bantam
Solv-A-Crime Puzzles (Dover Game and Puzzle Activity Books),A. C. Gordon,1995,Dover Publications
The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket
Selected Poems of Emily Dickinson,Emily Dickinson,1995,Tor Books
Watercolor School (Reader's Digest Learn-As-You-Go Guides),Hazel Harrison,1993,Readers Digest
Joshua In the Holy Land,Joseph Girzone,1993,Simon Schuster Trade
The Messenger,JOSEPH GIRZONE,2002,Image
Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,1991,Vintage Books USA
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers
Househusband,AD HUDLER,2002,Ballantine Books
Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,2002,Andrews McMeel Publishing
Letters from a Nut,Ted L. Nancy,1999,William Morrow
Karl Marx: A Life,Francis Wheen,2001,W.W. Norton &amp; Company
The Shining,Stephen King,2001,Pocket
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,2001,Hyperion
The Sky Is Falling,Sidney Sheldon,2001,Warner Books
Santa Pete : A Novel Of Christmas Present And Past,Christopher Moore,1998,Simon &amp; Schuster
Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002,Simon &amp; Schuster
The Kingdom: Arabia and the House of Sa'Ud,Robert Lacey,1983,Harper Mass Market Paperbacks (Mm)
Florida Road Kill: A Novel,Tim Dorsey,2000,HarperTorch
The 37th Hour,JODI COMPTON,2003,Delacorte Press
Be Cool,Elmore Leonard,2000,Dell Publishing Company
The Hunted,Elmore Leonard,1986,Warner Books (Mm)
The Saints of Big Harbour: A Novel,Lynn Coady,2002,Houghton Mifflin Company
Old Flames,John Lawton,2003,Atlantic Monthly Press
From the Earth: Chinese Vegetarian Cooking,Eileen Yin-Fei Lo,1995,MacMillan Publishing Company.
Living in the Presence: Disciplines for the Spiritual Heart,Tilden H. Edwards,1988,Harpercollins
The Bean Trees,Barbara Kingsolver,1989,Perennial
Homeland and Other Stories,Barbara Kingsolver,1990,Perennial
"A Suitable Boy : Novel, A",Vikram Seth,1994,Perennial
Daughter of Fortune,Isabel Allende,2000,Perennial
The Fly on the Wall,Tony Hillerman,1990,HarperTorch
Cranford (The World's Classics),Elizabeth Gaskell,1982,Oxford University Press
The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
The Right Hand of Amon,Lauren Haney,1997,Avon
Last Blue: Poems,Gerald Stern,2000,W.W. Norton &amp; Company
The Cat Who Wasn't There,Lilian Jackson Braun,1992,Putnam Pub Group
Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group
Light a Penny Candle,Maeve Binchy,2001,Signet Book
The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2002,Onyx Books
Turn of the Screw and Short N,Henry James,1978,Signet Book
The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,1994,Dover Publications
Early Poems (Dover Thrift Editions),William Carlos Williams,1997,Dover Publications
Barchester Towers (Oxford Pocket Classics),Anthony Trollope,1986,Random House Value Publishing
REEF,Edith Wharton,1996,Scribner
Wednesday the Rabbi Got Wet,Harry Kemelman,2003,I Books
Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,Villard Books
Listening Hearts: Discerning Call in Community,Suzanne G. Farnham,1991,Morehouse Group
Unattainable Earth,Czeslaw Milosz,1987,Ecco Press
"The Practice of Prayer (New Church's Teaching Series, Vol 4)",Margaret Guenther,1998,Cowley Publications
Vertical Poetry: Recent Poems,Roberto Juarroz,1992,White Pine Press (NY)
Rubinstein's Chess Masterpieces,Akiba Rubinstein,1941,Dover Publications
The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press
Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,0,Fabbri - RCS Libri
I Giorni Dell'abbandono,Elena Ferrante,2002,Edizioni E/O
The Gizmo,Paul Jennings,1995,Puffin
The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",1993,Harvard University Press
Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994,Saunders College Publishing
Secrets of St. John's Wort: A Lynn Sonberg Book,Larry Katzenstein,1998,St. Martin's Press
Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family,David Steinman,1992,Ballantine Books
"Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes",Alfie Kohn,1995,Houghton Mifflin
Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,1996,Schocken Books
Oil Painting Techniques (Artist's Painting Library),David Lewis,1983,Watson-Guptill Publications
Going down swinging,Billie Livingston,1999,Random House Canada
Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,2002,Thomas Dunne Books
Like a Hole in the Head,Jen Banbury,1998,Little Brown &amp; Co
Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm)
The Cove,Catherine Coulter,1996,Jove Books
An Inconvenient Woman,Dominick Dunne,1991,Bantam Books
Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket
While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket
Antipodes 10,John Pascal,1995,Noble House
Kick Ass: Selected Columns of Carl Hiaasen,Carl Hiaasen,2001,Berkley Publishing Group
Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company
Life of Pi,Yann Martel,2003,Harvest Books
Rules of the Wild,Francesca Marciano,1998,Random House Inc
Three Junes,JULIA GLASS,2003,Anchor
Back Roads,Tawni O'Dell,2001,Signet Book
In Her Shoes : A Novel,Jennifer Weiner,2002,Atria Books
The Kiss,Danielle Steel,2001,Delacorte Press
Home Spun: A Collection,Leon Hale,1997,Winedale Publishing
Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial
The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications
11th Hour,Bradley Warshauer,2003,Pinnacle Books
In Country RI,Bobbie Ann Mason,1986,Perennial
Brazen Virtue,Nora Roberts,1996,Bantam Books
Ghost Moon,Karen Robards,2001,Dell Publishing Company
Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996,St Martins Pr
Strangers,Dean R. Koontz,2002,Berkley Publishing Group
Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon
The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books
Night Tales,Nora Roberts,2000,Silhouette
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books
Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam
Four Blondes,Candace Bushnell,2001,Grove Press
River's End,Nora Roberts,2003,Jove Books
Summer Island,KRISTIN HANNAH,2002,Ballantine Books
The Straw Men,Michael Marshall,2002,Jove Books
The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989,Editech Pr
The Street Lawyer,John Grisham,1998,Doubleday Books
The Chamber,John Grisham,1994,Doubleday Books
Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,St. Martin's Paperbacks
The Teacher from the Black Lagoon,Mike Thaler,1989,Scholastic
The Partner,John Grisham,1997,Doubleday Books
Primal Scream,Michael Slade,1998,Signet Book
Chosen Prey,John Sandford,2004,Berkley Publishing Group
Guilty as Sin,TAMI HOAG,1997,Bantam
Night Sins,TAMI HOAG,1995,Bantam
The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket
Three,Ted Dekker,2003,WestBow Press
The Canopy,Angela Elwell Hunt,2003,WestBow Press
Blink,Ted Dekker,2003,WestBow Press
Last Battle,C. S. Lewis,1988,Scholastic Paperbacks (Mm)
Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.
Robert's Rules of Order,William Eisner,1986,Bantam Books
Abduction,Robin Cook,2000,Berkley Publishing Group
And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket
Not a Day Goes By : A Novel,E. LYNN HARRIS,2001,Anchor
Sun Signs,Linda Goodman,1981,Bantam Doubleday Dell
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books
HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991,Pocket
Her Mother's Daughter,Marilyn French,1990,Ballantine Books
Your Erroneous Zones,Wayne W. Dyer,1976,Harpercollins
The Night Listener,Armistead Maupin,2000,HarperCollins Publishers
Organizing from the Inside Out,Julie Morgenstern,1998,Henry Holt &amp; Company
The Hellfire Club,Peter Straub,1996,Random House Inc
"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books
Vanished,Danielle Steel,1993,Delacorte Press
The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991,Thorndike Pr
The Morning After,Lisa Jackson,2004,Zebra Books
Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books
Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp; Schuster
We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial
Horus's Horrible Day (First Graders from Mars),Shana Corey,2001,Scholastic
My Garden (Beginning Literacy),Jesse S. Ostrow,1994,Scholastic
101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company
In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,1987,Yearling
Ralph S. Mouse,Beverly Cleary,2000,Scholastic
"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,1999,Apple Signature (Scholastic)
How Do Dinosaurs Learn to Read,Jane Yolen,2003,"Scholastic, Inc."
My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997,Golden Books
You Be the Jury #02,Marvin Miller,1989,Scholastic
Comic Characters,Craig Boldman,1983,Golden Books
The Time Machine (Troll Illustrated Classics),H. G. Wells,1992,Troll Communications Llc
I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company
Sacred Ground,Mercedes Lackey,1995,Tor Books
Burning Water (Burning Water),Mercedes Lackey,1992,Tor Books
The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books
